Fold,Check,Call,Bet-1,Bet-2,Bet-5,Bet-7
-5,-11,-11,0,0,0,0
0,0,-3,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
